Street Name,From Street Name,To Street Name,PCI,Surface Distress Index,Roughness Index,Condition Rating
KANUGA ST,VIRGINIA AVE,MONROE DR,21.0,73.11,51.5451975,Good
LAW ST NW,DEAD END,BELTLINE,24.0,27.9,50.99224408,Poor
CORONET WAY,PINE GROVE DR,DEFOORS FERRY RD,33.0,94.0,82.62,Excellent
FILLMORE RD,WEST END,EISENHOWER CIR,30.0,39.105,56.7023463,Poor
EDISON GARDEN,WEST END,WEST ROXBORO RD,22.0,39.23,29.53809093,Poor
MONROE DR,SHERWOOD RD,PIEDMONT AVE,24.0,75.97,55.7579775,Good
WESTCHESTER BLVD,JOSEPH E BOONE BLVD,ILLINOIS AVE,15.0,42.655,53.89791566,Marginal
AVON AVE,SYLVAN RD,HARTFORD AVE,22.0,49.435,44.8191755,Marginal
ORMEWOOD TER,EMERSON AVE,ORMEWOOD AVE,31.0,71.36,48.76576,Fair
10TH ST,WEST END,BRADY AVE,32.0,79.9,78.14045692,Very Good
COLLIER DR,VALLEY HEART DR,WATERFORD RD,22.0,83.845,65.24439937,Very Good
GRIFFIN ST,ORR ST,JOSEPH E BOONE BLVD,26.0,49.935,58.69301342,Marginal
POLAND ST,CAIRO ST,NORFOLK ST,18.0,55.06,44.97492552,Marginal
STOVALL ST,FAITH AVE,SHERWOOD ST,34.0,77.02,57.20199,Good
MORLEY AVE,SCHUYLER AVE,HAMILTON AVE,26.0,38.945,30.45755742,Poor
MAYSON ST,ARMOUR PL,NORTH END,25.0,66.07,48.76689953,Fair
DANIEL RD,BLANTON AVE,BUTNER RD,14.0,81.9,63.18975,Very Good
DILBECK PL,ROSWELL RD,EAST END,19.0,7.305,38.31462517,Very Poor
CUSTER AVE,BENTEEN PARK DR SE,FISHER RD,24.0,16.93,63.01309126,Poor
FOSTER PL,LAWTON ST,EAST END,19.0,69.12,44.98464,Fair
LENOX RD,HAMPTON WAY,LENOX RD,23.0,32.935,46.72418362,Poor
SHADYDALE AVE,LAKEWOOD AVE,HILLSIDE AVE,19.0,16.495,39.56015637,Very Poor
WAITS DR,BREWER DR,CODEL ST,64.0,86.4,67.656,Very Good
INWOOD CIR NE,PEACHTREE ST NE,PEACHTREE ST NE,14.0,6.975,30.6713136,Very Poor
WICHITA DR,LOCKHAVEN CIR,ANIWAKA AVE,24.0,67.485,56.69353942,Fair
PEACHTREE CENTER AVE,HARRIS ST,BAKER ST,24.0,56.5,48.65455204,Marginal
FLETCHER ST,HOBSON ST,WELCH ST,45.0,16.41,54.76582698,Very Poor
MARGARET ST,HANNAH ST,LAKEWOOD AVE,20.0,36.515,45.65955516,Poor
WILLIAM PL NW,DEAD END,FRANCIS AVE,23.0,60.5,52.26331043,Fair
NEAL ST,LINDSAY ST,OLIVER ST,63.0,74.8,66.12830503,Good
JAMES P BRAWLEY DR,BANKHEAD AVE,WHEELER ST,18.0,25.49,55.52676444,Poor
ELM ST,THURMOND ST,JOSEPH E BOONE BLVD,62.0,60.635,66.91144849,Fair
TRIUMPH CIR,TRIUMPH CIR,COLOGNE DR,24.0,47.09,49.5887729,Marginal
PIEDMONT RD,PELHAM RD,EAST PELHAM RD,37.0,60.195,56.77137675,Fair
JOHNSON RD,HOLLYWOOD DR,JONES AVE,39.0,43.465,51.3933292,Marginal
FERST DR,HEMPHILL AVE,DALNEY ST,58.0,56.37,79.08260189,Fair
COLLIER ST,SCOTT ST,EAST END,58.0,63.895,52.4233781,Fair
MARY GEORGE AVE NW,ABNER TER NW,ABNER LN NW,64.0,77.1,57.30975,Good
OGILVIE DR,ARLINGTON AVE,EAST END,38.0,34.975,56.20427138,Poor
AZALIA ST,BEECHER ST,MATHEWS ST,57.0,65.145,53.75377403,Fair
MARTINA DR,PIEDMONT RD,PARK CIR,56.0,65.7,62.78563608,Fair
FORSYTH ST NW,WALTON ST NW,POPLAR ST NW,37.0,12.47,47.73852263,Very Poor
BEDFORD ST,JOSEPH E LOWERY BLVD,LINDSAY ST,41.0,87.1,68.25975,Very Good
HOLMES ST,ANTONE ST,NORTHSIDE DR,40.0,67.095,41.35052437,Fair
MARTIN LUTHER KING JR DR,GORDON TER,GORDON TER,43.0,35.6,44.71652139,Poor
PALMETTO AVE,PARSONS PL,PEEPLES ST,55.0,59.025,53.18307138,Fair
CROGMAN ST,PARK AVE,MOURY AVE,37.0,43.985,52.15421071,Marginal
BOULEVARD,WINTON TER,MORGAN ST,55.0,72.27,74.53925706,Good
CLAIRE DR,PRYOR CIR,CLAIRE DR,64.0,92.3,77.84555,Excellent
CHAPPELL RD,LAVENDER DR,HAWKINS ST,59.0,31.4,48.66557715,Poor
STERLING ST,MEADOR AVE,FREEMONT ST,44.0,45.225,49.50839952,Marginal
PEACHTREE ST,5TH ST,5TH ST,52.0,77.17,71.81802224,Very Good
CONNECTICUT AVE,INDIANA AVE,IVY PL,39.0,61.635,73.22124313,Good
FIELD RD NW,DONALD LEE HOLLOWELL PKWY NW,DEAD END,21.0,61.765,85.63064422,Good
TWILLEY RD,BAKER RD,BAKER TER,44.0,69.05,59.32182472,Good
COTTAGE LN,COLLIER RD,OVERBROOK DR,64.0,68.0,78.73536686,Good
CAHABA DR,SANDTOWN RD,AVON AVE,51.0,47.935,83.38952092,Fair
VINE ST,MAGNOLIA ST,LESTER ST,59.0,45.955,32.27085931,Poor
VENETIAN DR,SANDTOWN RD,WILLOW TRL,57.0,87.0,82.34918318,Excellent
MOUNT GILEAD RD,DALE LN,CAMPBELLTON RD,23.0,66.57,62.25701558,Good
THIRKELD AVE,LANSING ST,JONESBORO RD,51.0,57.035,58.15378566,Fair
GLEN IRIS DR,WABASH AVE,ANGIER AVE,63.0,59.945,62.70398752,Fair
MAY AVE,PASLEY AVE,MAYNARD TER,40.0,30.9,67.18072991,Poor
15TH ST,LAFAYETTE DR,15TH ST,58.0,59.22,63.66861551,Fair
