,latitude,longitude
214,33.664248,-84.518737
215,33.664605,-84.519054
216,33.667958,-84.509239
217,33.668105,-84.510091
218,33.667987,-84.510935
219,33.667815,-84.51175
220,33.66897,-84.508767
221,33.670083,-84.508313
222,33.669472,-84.508739
223,33.667101,-84.50944
224,33.667214,-84.510242
225,33.667066,-84.511134
226,33.702766,-84.496985
227,33.698907,-84.496734
228,33.699458,-84.496738
229,33.703841,-84.496364
230,33.703411,-84.49687
231,33.699506,-84.496149
232,33.699104,-84.496348
233,33.69972,-84.496316
234,33.705819,-84.496176
235,33.705291,-84.496164
236,33.670334,-84.51043
237,33.670109,-84.51079
238,33.669363,-84.512009
239,33.668895,-84.512049
240,33.669465,-84.511509
241,33.669707,-84.510835
242,33.669797,-84.509653
243,33.669474,-84.509385
244,33.668266,-84.512156
245,33.668545,-84.511688
246,33.668959,-84.510946
247,33.668925,-84.510389
248,33.669335,-84.509949
249,33.670315,-84.509333
250,33.670831,-84.509108
251,33.669847,-84.510223
252,33.671943,-84.508638
253,33.672549,-84.50886
254,33.672989,-84.509356
255,33.672938,-84.509998
256,33.671929,-84.507277
257,33.671215,-84.507458
258,33.671323,-84.508207
259,33.671378,-84.509015
260,33.672382,-84.507492
261,33.672856,-84.511154
262,33.672393,-84.510981
263,33.672006,-84.510458
264,33.67163,-84.509785
265,33.704174,-84.496151
266,33.704711,-84.495987
267,33.706455,-84.496043
268,33.666486,-84.513136
269,33.665945,-84.512913
270,33.665068,-84.513791
271,33.664113,-84.514818
272,33.664412,-84.514106
273,33.699314,-84.494518
274,33.698803,-84.494418
275,33.698477,-84.495533
276,33.698791,-84.495096
277,33.699209,-84.495316
278,33.700322,-84.495109
279,33.700349,-84.495708
280,33.699918,-84.495322
281,33.699763,-84.495088
282,33.699922,-84.494869
283,33.668677,-84.512924
284,33.669399,-84.514141
285,33.669677,-84.514875
286,33.668946,-84.513601
287,33.718658,-84.510105
288,33.719035,-84.508316
289,33.719089,-84.508957
290,33.719295,-84.510826
291,33.719209,-84.509925
292,33.719381,-84.512278
293,33.719352,-84.511519
294,33.698542,-84.497765
295,33.698739,-84.498256
296,33.699258,-84.498089
297,33.699802,-84.497903
298,33.698728,-84.497202
299,33.700391,-84.497686
300,33.700207,-84.496359
301,33.699964,-84.496114
302,33.698931,-84.496134
303,33.698624,-84.49634
304,33.69847,-84.496051
305,33.698524,-84.496988
306,33.70027,-84.497177
307,33.699928,-84.497243
308,33.699309,-84.497233
309,33.69998,-84.496739
310,33.66254,-84.51274599999999
311,33.661948,-84.512655
312,33.661685,-84.512002
313,33.662642,-84.511241
314,33.663064,-84.511674
315,33.663059,-84.512174
316,33.663583,-84.512103
317,33.664017,-84.51268
318,33.663638,-84.512667
319,33.661046,-84.511929
320,33.661436,-84.512565
321,33.6618,-84.513205
322,33.662645,-84.514555
323,33.663079,-84.514642
324,33.663675,-84.514196
325,33.667867,-84.514941
326,33.667572,-84.514898
327,33.667073,-84.51552
328,33.666695,-84.515792
329,33.665828,-84.516206
330,33.665257,-84.516585
331,33.66347,-84.517661
332,33.661744,-84.516414
333,33.661285,-84.515978
334,33.662467,-84.51686
335,33.66302,-84.517353
336,33.665373,-84.515695
337,33.664309,-84.516103
338,33.701491,-84.495744
339,33.70145,-84.497105
340,33.701625,-84.496736
341,33.701634,-84.496057
342,33.702037,-84.496955
343,33.665627,-84.514605
344,33.665996,-84.514777
345,33.665985,-84.515241
346,33.664015,-84.515268
347,33.663529,-84.514931
348,33.664778,-84.516011
349,33.680828,-84.526512
350,33.681364,-84.52645
351,33.681947,-84.527707
352,33.681206,-84.527759
353,33.680875,-84.527001
354,33.702271,-84.49663
355,33.702253,-84.496098
356,33.702181,-84.495766
357,33.70092,-84.49576
358,33.661875,-84.516099
359,33.66221,-84.515668
360,33.700879,-84.497215
361,33.700985,-84.496863
362,33.700982,-84.496057
363,33.662854,-84.513408
364,33.662183,-84.513842
365,33.663175,-84.513356
366,33.662963,-84.51389
367,33.660946,-84.51649
368,33.66181,-84.517373
369,33.659775,-84.525043
370,33.66106,-84.525236
371,33.663175,-84.525008
372,33.66361,-84.525325
373,33.662468,-84.525183
374,33.661718,-84.52548
375,33.660392,-84.525235
376,33.660316,-84.516944
377,33.660573,-84.51625
378,33.660912,-84.51573
379,33.661317,-84.515065
380,33.662327,-84.515051
381,33.662641,-84.51555
382,33.659837,-84.517393
383,33.663378,-84.516594
384,33.662871,-84.516196
385,33.662577,-84.515118
386,33.663723,-84.515981
387,33.663212,-84.515589
388,33.663525,-84.518789
389,33.662855,-84.518778
390,33.662191,-84.518779
391,33.661012,-84.518743
392,33.661577,-84.518615
393,33.663831,-84.518205
394,33.665188,-84.517005
395,33.665092,-84.51763
396,33.664166,-84.518323
397,33.718559,-84.511489
398,33.718939,-84.511015
399,33.718662,-84.512131
400,33.65152,-84.439024
401,33.651647,-84.438548
402,33.651808,-84.438093
403,33.652038,-84.437677
404,33.652346,-84.43734
405,33.652685,-84.437062
406,33.652904,-84.436925
407,33.652912,-84.436972
408,33.653217,-84.436673
409,33.653234,-84.43672
410,33.653558,-84.436417
411,33.653906,-84.436156
412,33.65393,-84.436204
413,33.654266,-84.435902
414,33.654294,-84.43594
415,33.654571,-84.435661
416,33.654607,-84.435707
417,33.652387,-84.437472
418,33.652167,-84.437848
419,33.651986,-84.438306
420,33.651882,-84.438792
421,33.833847,-84.366855
422,33.835682,-84.365281
423,33.836511,-84.361877
424,33.788215,-84.467962
425,33.837461,-84.361694
426,33.83903,-84.362543
427,33.840425,-84.363286
428,33.775363,-84.376198
429,33.775369,-84.376856
430,33.776127,-84.374251
431,33.786575,-84.473505
432,33.779544,-84.378062
433,33.709991,-84.488582
434,33.76242,-84.51462
435,33.761857,-84.511728
436,33.761855,-84.512687
437,33.735016,-84.430558
438,33.877562,-84.407346
439,33.722366,-84.449567
440,33.760588,-84.450573
441,33.756863,-84.449478
442,33.761666,-84.451012
443,33.843037,-84.397247
444,33.841949,-84.397952
445,33.729136,-84.493512
446,33.724829,-84.424411
447,33.728126,-84.404273
448,33.74995,-84.421798
449,33.749697,-84.42139
450,33.701436,-84.420507
451,33.717527,-84.408884
452,33.722524,-84.43799
453,33.701723,-84.414238
454,33.767117999999996,-84.481285
455,33.747594,-84.539944
456,33.696228,-84.41165
457,33.696259,-84.411028
458,33.752202,-84.517641
459,33.751791,-84.516345
460,33.752502,-84.419246
461,33.796988,-84.344793
462,33.733361,-84.419146
463,33.733074,-84.419008
464,33.733397,-84.419476
465,33.717789,-84.409937
466,33.712479,-84.409903
467,33.801381,-84.355913
468,33.797224,-84.376352
469,33.694025,-84.397395
470,33.728246,-84.480531
471,33.704989,-84.415988
472,33.704738,-84.415968
473,33.747843,-84.520641
474,33.747875,-84.521932
475,33.746191,-84.526149
476,33.753795,-84.372431
477,33.78542,-84.341068
478,33.72652,-84.431182
479,33.726519,-84.433271
480,33.702682,-84.416415
481,33.688798,-84.374558
482,33.677645,-84.384146
483,33.679723,-84.384201
484,33.85927,-84.419158
485,33.857861,-84.420656
486,33.835288,-84.36356
487,33.71691,-84.431589
488,33.750487,-84.419077
489,33.716346,-84.429739
490,33.767463,-84.506034
491,33.708615,-84.413982
492,33.833928,-84.410578
493,33.771517,-84.464374
494,33.770362,-84.46445
495,33.708498,-84.489388
496,33.738357,-84.332155
497,33.726543,-84.403986
498,33.751954,-84.455152
499,33.752931,-84.455606
500,33.683184,-84.404798
501,33.735074,-84.39704
502,33.692597,-84.496151
503,33.694198,-84.534126
504,33.699982,-84.504422
505,33.795793,-84.357318
506,33.71713,-84.363919
507,33.717121,-84.364782
508,33.764576,-84.475543
509,33.764648,-84.477212
510,33.770674,-84.411497
511,33.832224,-84.365862
512,33.675814,-84.509061
513,33.676136,-84.508641
514,33.803517,-84.424271
515,33.828762,-84.423079
516,33.830554,-84.42079
517,33.796128,-84.402997
518,33.795933,-84.4008
519,33.80843,-84.399382
520,33.8080283,-84.4002017
521,33.767069,-84.454322
522,33.731049,-84.394917
523,33.701361,-84.47574
524,33.710582,-84.38248
525,33.753412,-84.507598
526,33.831951,-84.412749
527,33.829229,-84.415561
528,33.832524,-84.410551
529,33.722863,-84.40429
530,33.77383,-84.375834
531,33.760384,-84.431342
532,33.786329,-84.452974
533,33.854188,-84.428125
534,33.799222,-84.367618
535,33.840904,-84.41594
536,33.731718,-84.354297
537,33.692715,-84.538395
538,33.770185,-84.432686
539,33.72413,-84.533903
540,33.77029,-84.47688
541,33.749098,-84.423546
542,33.862731,-84.41146
543,33.860944,-84.411308
544,33.821254,-84.442054
545,33.741072,-84.47945
546,33.725693,-84.398642
547,33.662327,-84.355894
548,33.661801,-84.355786
549,33.665615,-84.355534
550,33.789297,-84.396729
551,33.769128,-84.460299
552,33.742368,-84.379996
553,33.808356,-84.472967
554,33.699551,-84.375749
555,33.776788,-84.367491
556,33.727617,-84.366276
557,33.727843,-84.366245
558,33.776657,-84.439044
559,33.777136,-84.439868
560,33.78424,-84.4569
561,33.786234,-84.456514
562,33.792215,-84.462371
563,33.74178,-84.344394
564,33.828669,-84.394056
565,33.852206,-84.412252
566,33.710591,-84.445844
567,33.709993,-84.445848
568,33.737573,-84.456164
569,33.75534,-84.338345
570,33.743854999999996,-84.479006
571,33.715987,-84.380182
572,33.759782,-84.467789
573,33.796573,-84.405577
574,33.797081,-84.402011
575,33.75752,-84.487057
576,33.70027,-84.508695
577,33.720468,-84.378665
578,33.718511,-84.378737
579,33.719869,-84.378686
580,33.719314,-84.378704
