NIBRS Code Name,Longitude,Latitude
Motor Vehicle Theft,-84.464113,33.640073
Simple Assault,-84.387603,33.675551
Motor Vehicle Theft,-84.362739,33.734941
Aggravated Assault,-84.381534,33.678664
Theft From Motor Vehicle,-84.363899,33.756669
Theft From Motor Vehicle,-84.355232,33.811479
All Other Larceny,-84.368175,33.818276
Shoplifting,-84.373452,33.761005
Robbery,-84.424139,33.724089
Drug/Narcotic Violations,-84.414009,33.732517
Motor Vehicle Theft,-84.404565,33.740982
Impersonation,-84.411117,33.638465
Motor Vehicle Theft,-84.424543,33.813362
Theft From Building,-84.433141,33.815422
Drug/Narcotic Violations,-84.332855,33.747161
Weapon Law Violations,-84.402661,33.762524
Destruction/Damage/Vandalism of Property,-84.508554,33.740869
Simple Assault,-84.378316,33.84175
Destruction/Damage/Vandalism of Property,-84.365836,33.781297
Drug/Narcotic Violations,-84.410124,33.768721
Motor Vehicle Theft,-84.400406,33.691288
Motor Vehicle Theft,-84.360367,33.746291
Destruction/Damage/Vandalism of Property,-84.394869,33.813858
Theft From Motor Vehicle,-84.397304,33.749575
Motor Vehicle Theft,-84.489614,33.691477
Theft From Motor Vehicle,-84.470246,33.799886
Destruction/Damage/Vandalism of Property,-84.38084,33.684757
Identity Theft,-84.367013,33.848614
Burglary/Breaking & Entering,-84.417814,33.760627
All Other Larceny,-84.371043,33.768101
Theft From Motor Vehicle,-84.391061,33.760082
Theft From Building,-84.389295,33.753902
Destruction/Damage/Vandalism of Property,-84.406527,33.701469
Motor Vehicle Theft,-84.423631,33.763765
All Other Larceny,-84.395115,33.813166
Motor Vehicle Theft,-84.378163,33.779725
Motor Vehicle Theft,-84.377492,33.748241
Shoplifting,-84.363279,33.824027
Destruction/Damage/Vandalism of Property,-84.382473,33.772603
All Other Larceny,-84.456433,33.706756
Destruction/Damage/Vandalism of Property,-84.378457,33.707602
Destruction/Damage/Vandalism of Property,-84.387899,33.770807
Theft From Motor Vehicle,-84.369224,33.798056
All Other Larceny,-84.509493,33.659593
Motor Vehicle Theft,-84.511362,33.731487
Weapon Law Violations,-84.509636,33.738478
All Other Larceny,-84.374086,33.844126
Shoplifting,-84.438698,33.71334
Simple Assault,-84.431,33.767831
Theft From Motor Vehicle,-84.412875,33.808256
Destruction/Damage/Vandalism of Property,-84.385185,33.76809
Weapon Law Violations,-84.442465,33.640387
All Other Larceny,-84.398691,33.82474
Motor Vehicle Theft,-84.368423,33.725797
Theft From Motor Vehicle,-84.376505,33.747926
Motor Vehicle Theft,-84.357416,33.752699
Theft From Motor Vehicle,-84.394419,33.767943
Destruction/Damage/Vandalism of Property,-84.395605,33.747714
Aggravated Assault,-84.389333,33.754315
Aggravated Assault,-84.490874,33.785846
Simple Assault,-84.489439,33.728786
Robbery,-84.379793,33.707299
Theft From Motor Vehicle,-84.375774,33.800283
Aggravated Assault,-84.385928,33.724687
Destruction/Damage/Vandalism of Property,-84.483531,33.700808
Burglary/Breaking & Entering,-84.391656,33.76271
Motor Vehicle Theft,-84.360786,33.758437
All Other Larceny,-84.349486,33.774263
Shoplifting,-84.365188,33.822761
