NIBRS Code Name,Longitude,Latitude
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
All Other Larceny,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
False Pretenses/Swindle/Confidence Game,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
All Other Larceny,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Theft of Motor Vehicle Parts or Accessories,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Theft From Building,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
False Pretenses/Swindle/Confidence Game,-84.44453,33.637998
All Other Larceny,-84.44453,33.637998
All Other Larceny,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
All Other Larceny,-84.44453,33.637998
False Pretenses/Swindle/Confidence Game,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
False Pretenses/Swindle/Confidence Game,-84.44453,33.637998
Simple Assault,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
False Pretenses/Swindle/Confidence Game,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
All Other Larceny,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
All Other Larceny,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
False Pretenses/Swindle/Confidence Game,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Theft From Motor Vehicle,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
False Pretenses/Swindle/Confidence Game,-84.44453,33.637998
Simple Assault,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Motor Vehicle Theft,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Motor Vehicle Theft,-84.44452995,33.63799843
Motor Vehicle Theft,-84.44452995,33.63799843
Motor Vehicle Theft,-84.44453752,33.63802688
Destruction/Damage/Vandalism of Property,-84.455316,33.638059
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
Motor Vehicle Theft,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
Motor Vehicle Theft,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
Motor Vehicle Theft,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
Motor Vehicle Theft,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
All Other Larceny,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
